blind_id,M002,M003,M004,M005,M007,M009,M010,M011,M012,M013,M015,M016,M017,M019,M021,M022,M024,M025,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M043,M044,M045,M046,M047,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
M049,0.326391,0.414820,0.332295,0.434705,0.469892,0.500414,0.464097,0.454576,0.479670,0.449707,0.295240,0.520422,0.767042,0.781628,0.523605,0.361905,0.382767,0.331416,0.385130,0.492550,0.598455,0.505185,0.560137,0.493741,0.556303,0.386913,0.339316,0.387530,0.457586,0.387314,0.522743,0.395075,0.485564,0.237029,0.223131,0.280447,0.360448,0.300775,0.000000,0.311245,0.375454,0.314606,0.378769,0.488256,0.456087,0.328598,0.369672,0.405844,0.363333,0.425956,0.332393,0.336887,0.327864,0.358978,0.530519,0.316197,0.268736,0.240776,0.333170,0.334597,0.305159,0.270034,0.406358
M050,0.308290,0.342402,0.340618,0.436276,0.466687,0.420353,0.442145,0.330466,0.336471,0.337619,0.263151,0.369511,0.520777,0.557524,0.391386,0.288919,0.305827,0.295855,0.428335,0.546937,0.565539,0.436203,0.668497,0.450255,0.548242,0.440813,0.346498,0.368694,0.373107,0.333928,0.569694,0.407321,0.538710,0.352550,0.345366,0.371583,0.447426,0.219887,0.311245,0.000000,0.185007,0.222556,0.309823,0.431734,0.453930,0.492220,0.529462,0.514850,0.429027,0.490892,0.301166,0.293391,0.293306,0.311194,0.432575,0.266596,0.259844,0.371342,0.316956,0.328790,0.439072,0.356862,0.439248
M051,0.369532,0.393547,0.379545,0.469381,0.510782,0.499543,0.504383,0.417538,0.421727,0.416489,0.314542,0.445838,0.589569,0.621004,0.445413,0.356012,0.347339,0.351039,0.460242,0.607158,0.581887,0.473150,0.580445,0.507534,0.580011,0.444860,0.372203,0.385051,0.394841,0.345937,0.491023,0.458738,0.596616,0.425489,0.415181,0.486459,0.501020,0.253122,0.375454,0.185007,0.000000,0.275097,0.358316,0.477045,0.458237,0.548073,0.585724,0.566007,0.505247,0.542051,0.364029,0.356511,0.357106,0.368961,0.482160,0.333511,0.321446,0.427219,0.376251,0.388606,0.495537,0.413695,0.505724
M052,0.267879,0.277090,0.249488,0.353854,0.427780,0.397081,0.415991,0.319453,0.294454,0.287179,0.218719,0.351738,0.593329,0.551147,0.370398,0.259012,0.226522,0.294932,0.317270,0.486985,0.543585,0.425240,0.581763,0.426238,0.499934,0.372566,0.352757,0.354925,0.387899,0.317496,0.490500,0.318847,0.452629,0.318810,0.312333,0.378461,0.363029,0.190332,0.314606,0.222556,0.275097,0.000000,0.264058,0.378023,0.386187,0.423887,0.453199,0.461486,0.419059,0.443195,0.258555,0.247393,0.244519,0.249010,0.374063,0.204620,0.202460,0.353510,0.246800,0.258411,0.397672,0.323679,0.410546
M053,0.247367,0.324966,0.334552,0.345019,0.373985,0.356360,0.386787,0.368698,0.398145,0.422774,0.277399,0.435273,0.652329,0.590549,0.420471,0.341400,0.310616,0.373177,0.318991,0.435564,0.437183,0.343116,0.528450,0.358614,0.399691,0.386011,0.326124,0.355861,0.346879,0.322651,0.399547,0.360548,0.391122,0.362716,0.357781,0.442578,0.393747,0.261100,0.378769,0.309823,0.358316,0.264058,0.000000,0.275522,0.331842,0.517389,0.556832,0.515544,0.454525,0.493415,0.287894,0.278816,0.280912,0.294316,0.372116,0.270474,0.258828,0.398446,0.292260,0.303870,0.490533,0.399135,0.466784
M054,0.295825,0.307946,0.384881,0.315317,0.320091,0.301398,0.349382,0.423093,0.445585,0.453561,0.379071,0.495191,0.705243,0.695071,0.394034,0.403848,0.429822,0.439778,0.348263,0.367459,0.397610,0.319826,0.546722,0.288493,0.364079,0.493172,0.382606,0.444695,0.421867,0.406826,0.420065,0.407982,0.426925,0.441090,0.438929,0.514980,0.454564,0.398726,0.488256,0.431734,0.477045,0.378023,0.275522,0.000000,0.311183,0.608947,0.653092,0.662637,0.606200,0.627489,0.330439,0.326936,0.311657,0.361809,0.389219,0.361573,0.330221,0.502404,0.322557,0.322672,0.581174,0.503985,0.592182
M055,0.297795,0.364391,0.404706,0.216978,0.262669,0.309981,0.312870,0.473522,0.476188,0.417257,0.379571,0.503192,0.726392,0.688441,0.411579,0.420245,0.387761,0.479965,0.314188,0.300858,0.442121,0.347776,0.452859,0.302516,0.342636,0.414588,0.343031,0.385132,0.444527,0.445344,0.339814,0.343645,0.315812,0.386637,0.382696,0.518922,0.407680,0.408863,0.456087,0.453930,0.458237,0.386187,0.331842,0.311183,0.000000,0.586309,0.631241,0.647360,0.594438,0.614790,0.305402,0.313390,0.298111,0.347374,0.386246,0.348603,0.283132,0.469921,0.306340,0.301109,0.563614,0.494281,0.591029
M056,0.434599,0.525030,0.467108,0.493034,0.574111,0.567041,0.556430,0.507506,0.560612,0.555485,0.441199,0.600668,0.897380,0.859552,0.622006,0.466535,0.491805,0.478789,0.429948,0.543543,0.729744,0.613222,0.640970,0.607408,0.642523,0.469888,0.507762,0.548100,0.623398,0.560203,0.634003,0.436368,0.550469,0.269473,0.273919,0.342128,0.454396,0.432009,0.328598,0.492220,0.548073,0.423887,0.517389,0.608947,0.586309,0.000000,0.105119,0.297527,0.392889,0.412088,0.479757,0.467114,0.455421,0.475503,0.672321,0.443379,0.376040,0.260087,0.438552,0.441871,0.151427,0.243458,0.383907
M057,0.482995,0.561662,0.496244,0.518755,0.623149,0.611777,0.595317,0.555827,0.592420,0.588146,0.487205,0.620130,0.927547,0.905656,0.659361,0.503760,0.526252,0.513651,0.448022,0.583491,0.761333,0.619955,0.670860,0.606837,0.652853,0.487199,0.541685,0.560360,0.628539,0.578094,0.681774,0.459231,0.595507,0.308598,0.319889,0.393171,0.482366,0.449947,0.369672,0.529462,0.585724,0.453199,0.556832,0.653092,0.631241,0.105119,0.000000,0.314845,0.419135,0.418210,0.518505,0.497171,0.496684,0.491727,0.685631,0.489132,0.417640,0.283999,0.466886,0.472157,0.160162,0.260706,0.423878
M058,0.523394,0.598635,0.570936,0.546015,0.622894,0.610127,0.603941,0.617153,0.614271,0.633766,0.511452,0.692115,0.879562,0.853425,0.677028,0.577414,0.578062,0.551829,0.534796,0.690006,0.760570,0.627876,0.733048,0.638387,0.705843,0.494815,0.545217,0.548006,0.610547,0.546501,0.716674,0.530942,0.629642,0.325921,0.334698,0.375541,0.508624,0.468892,0.405844,0.514850,0.566007,0.461486,0.515544,0.662637,0.647360,0.297527,0.314845,0.000000,0.180519,0.220481,0.526304,0.503492,0.504400,0.521455,0.691628,0.487401,0.443185,0.356410,0.506560,0.509240,0.264208,0.279333,0.202203
