blind_id,M002,M003,M004,M005,M007,M009,M010,M011,M012,M013,M015,M016,M017,M019,M021,M022,M024,M025,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M043,M044,M045,M046,M047,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
M015,0.187617,0.228183,0.188406,0.263858,0.285103,0.319002,0.303103,0.402852,0.350664,0.285717,0.000000,0.450088,0.541493,0.470954,0.457131,0.268032,0.150031,0.195636,0.215957,0.423705,0.520762,0.442208,0.419140,0.378467,0.475719,0.216454,0.301398,0.234941,0.302642,0.332208,0.501794,0.232455,0.320513,0.019487,0.012936,0.201917,0.244951,0.211386,0.214189,0.247567,0.317579,0.147139,0.204283,0.273840,0.367540,0.402213,0.416358,0.351017,0.322868,0.352026,0.060778,0.067627,0.067627,0.042945,0.310763,0.018594,0.013565,0.326477,0.056047,0.070670,0.430304,0.259081,0.308410
M016,0.595241,0.373944,0.465263,0.479397,0.591199,0.497504,0.477091,0.244005,0.237151,0.283795,0.450088,0.000000,0.283468,0.201673,0.361393,0.303712,0.357132,0.425512,0.614377,0.818410,0.858944,0.784159,0.864082,0.796760,0.897740,0.553877,0.662635,0.598328,0.650885,0.649452,0.946736,0.426641,0.739324,0.469575,0.463024,0.584068,0.669937,0.421718,0.462722,0.359323,0.408291,0.393964,0.542161,0.581652,0.688487,0.540051,0.560419,0.558684,0.577335,0.574909,0.510865,0.517714,0.517714,0.493032,0.592576,0.468681,0.463653,0.465718,0.506134,0.520758,0.462023,0.492411,0.604501
M017,0.632235,0.396125,0.533500,0.654807,0.699707,0.609149,0.607006,0.335750,0.315466,0.368520,0.541493,0.283468,0.000000,0.242466,0.360526,0.404938,0.454711,0.465090,0.699345,0.929139,0.787082,0.649949,0.909420,0.818781,0.958930,0.632398,0.661806,0.644164,0.592556,0.538819,1.000000,0.606490,0.852034,0.560980,0.554429,0.663095,0.782648,0.454577,0.573776,0.343551,0.349779,0.444726,0.567100,0.593700,0.789814,0.650809,0.664725,0.572786,0.563812,0.571977,0.602271,0.609119,0.609119,0.584438,0.623321,0.560087,0.555058,0.568169,0.597539,0.612163,0.485554,0.545202,0.588575
M019,0.583619,0.367425,0.449272,0.485147,0.570893,0.486809,0.493162,0.299749,0.268901,0.309572,0.470954,0.201673,0.242466,0.000000,0.400689,0.357316,0.373484,0.443078,0.602754,0.832547,0.833604,0.710111,0.852459,0.759942,0.877131,0.528908,0.587511,0.556138,0.609081,0.562380,0.935113,0.492428,0.755443,0.481906,0.483891,0.585777,0.693666,0.417872,0.524115,0.352025,0.355831,0.380883,0.518724,0.578121,0.661000,0.602845,0.631749,0.491464,0.513401,0.492249,0.515586,0.522435,0.522435,0.497753,0.555759,0.477968,0.474461,0.497250,0.510855,0.525479,0.487556,0.480131,0.540567
M021,0.522691,0.259419,0.450783,0.427492,0.507700,0.436085,0.515910,0.428105,0.414020,0.369899,0.457131,0.361393,0.360526,0.400689,0.000000,0.390922,0.387509,0.433788,0.603449,0.837863,0.557063,0.529158,0.776554,0.630497,0.817078,0.553122,0.564428,0.515866,0.424715,0.443237,0.867135,0.393513,0.719169,0.476618,0.470067,0.601882,0.675655,0.494344,0.596174,0.438357,0.346223,0.417405,0.537191,0.452075,0.570665,0.576688,0.597973,0.607732,0.660363,0.605135,0.492036,0.498884,0.498884,0.474203,0.511504,0.472681,0.469174,0.543520,0.487304,0.501928,0.521785,0.550536,0.624952
M022,0.403111,0.279864,0.264004,0.412572,0.459046,0.425891,0.397423,0.169584,0.299807,0.216287,0.268032,0.303712,0.404938,0.357316,0.390922,0.000000,0.155726,0.234874,0.378520,0.606590,0.739201,0.685050,0.626917,0.620212,0.692933,0.463807,0.559621,0.496422,0.545973,0.515355,0.709571,0.357936,0.549738,0.281828,0.280968,0.399031,0.461269,0.341580,0.327595,0.303198,0.363711,0.234924,0.406788,0.457881,0.591078,0.331497,0.344168,0.467337,0.462933,0.494615,0.320836,0.327685,0.327685,0.303003,0.408247,0.278652,0.274384,0.331704,0.316105,0.330728,0.334621,0.361105,0.471322
M024,0.295710,0.221433,0.185868,0.339185,0.340383,0.317348,0.323545,0.301116,0.271291,0.186885,0.150031,0.357132,0.454711,0.373484,0.387509,0.155726,0.000000,0.134201,0.282628,0.517878,0.608316,0.566651,0.506950,0.476711,0.570836,0.354480,0.421678,0.366096,0.415101,0.443509,0.589604,0.290872,0.415904,0.160982,0.162968,0.288851,0.352403,0.241311,0.267996,0.212198,0.297830,0.147369,0.257678,0.340518,0.455479,0.382863,0.412685,0.397380,0.379151,0.402012,0.193719,0.200567,0.200567,0.175886,0.332465,0.154717,0.151210,0.323290,0.188988,0.203611,0.400059,0.307072,0.381840
M025,0.293648,0.265255,0.205493,0.394219,0.398243,0.318489,0.389513,0.349497,0.317065,0.286046,0.195636,0.425512,0.465090,0.443078,0.433788,0.234874,0.134201,0.000000,0.301976,0.505916,0.563153,0.549535,0.512291,0.476120,0.590576,0.390900,0.466451,0.400214,0.417009,0.387878,0.584449,0.351468,0.413680,0.206588,0.208573,0.268373,0.364271,0.222812,0.241701,0.183714,0.253429,0.135722,0.233382,0.316692,0.469040,0.434833,0.455413,0.392971,0.351717,0.374423,0.241652,0.248501,0.248501,0.223819,0.284170,0.202650,0.199143,0.330872,0.236921,0.251545,0.378704,0.294180,0.366513
M027,0.190445,0.348003,0.227895,0.314037,0.304134,0.409807,0.369786,0.528618,0.522745,0.402652,0.215957,0.614377,0.699345,0.602754,0.603449,0.378520,0.282628,0.301976,0.000000,0.281157,0.491801,0.528559,0.279332,0.323551,0.385613,0.295095,0.324522,0.301181,0.424874,0.470428,0.371302,0.327202,0.226188,0.226908,0.228893,0.310802,0.220079,0.334472,0.295453,0.404963,0.487721,0.307390,0.299084,0.290583,0.360989,0.424010,0.447285,0.467305,0.431147,0.438396,0.213078,0.219927,0.219927,0.195245,0.328368,0.205899,0.202392,0.359073,0.208347,0.222971,0.507137,0.353668,0.381654
M028,0.401291,0.582417,0.477279,0.466175,0.395876,0.610885,0.523540,0.734633,0.738310,0.605895,0.423705,0.818410,0.929139,0.832547,0.837863,0.606590,0.517878,0.505916,0.281157,0.000000,0.546083,0.619439,0.241234,0.241268,0.158909,0.382237,0.342825,0.388668,0.552537,0.623811,0.264632,0.512719,0.204839,0.434656,0.436641,0.423700,0.334136,0.514865,0.446897,0.599189,0.652825,0.504265,0.416429,0.436813,0.317508,0.609031,0.636393,0.688294,0.630837,0.608427,0.414143,0.407294,0.407294,0.397832,0.454869,0.422183,0.418676,0.562303,0.401802,0.404250,0.730610,0.569447,0.596982
