blind_id,M002,M003,M004,M005,M007,M009,M010,M011,M012,M013,M015,M016,M017,M019,M021,M022,M024,M025,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M043,M044,M045,M046,M047,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
M045,0.338827,0.374554,0.454719,0.495450,0.465210,0.338915,0.471839,0.431511,0.281392,0.374313,0.354756,0.384378,0.376279,0.405992,0.424620,0.338518,0.417859,0.398796,0.630073,0.636737,0.609105,0.363991,0.627288,0.499967,0.789899,0.549321,0.489458,0.392556,0.428189,0.495596,0.627667,0.563410,0.475902,0.354756,0.354756,0.000000,0.464066,0.418585,0.414390,0.316553,0.449117,0.355994,0.394552,0.514306,0.460253,0.585959,0.672486,0.597136,0.420939,0.437567,0.354756,0.354756,0.354756,0.354756,0.275211,0.354756,0.354756,0.501127,0.354756,0.354756,0.578444,0.499666,0.452344
M046,0.413205,0.534824,0.423496,0.375152,0.605109,0.468391,0.519962,0.588310,0.536662,0.469016,0.339463,0.573233,0.657748,0.692224,0.654875,0.522505,0.418648,0.398491,0.429319,0.613569,0.573754,0.469852,0.455325,0.509565,0.673206,0.338207,0.472564,0.415530,0.512754,0.536021,0.513680,0.502684,0.351666,0.339463,0.339463,0.464066,0.000000,0.343659,0.355925,0.439216,0.386790,0.347829,0.457378,0.673994,0.416307,0.357577,0.398897,0.327682,0.273647,0.230853,0.339463,0.339463,0.339463,0.339463,0.440779,0.339463,0.339463,0.398161,0.339463,0.339463,0.313632,0.355019,0.237927
M047,0.217874,0.368251,0.243564,0.280369,0.411848,0.416910,0.366304,0.444672,0.504432,0.393862,0.140245,0.437536,0.635902,0.550804,0.577158,0.366434,0.220902,0.228635,0.324282,0.461343,0.456011,0.260772,0.308060,0.403708,0.550128,0.245361,0.242603,0.304093,0.292580,0.326745,0.343238,0.381199,0.283829,0.140245,0.140245,0.418585,0.343659,0.000000,0.170189,0.212702,0.125947,0.138897,0.281358,0.511860,0.280206,0.209269,0.304248,0.420727,0.436038,0.401106,0.140245,0.140245,0.140245,0.140245,0.296263,0.140245,0.140245,0.228680,0.140245,0.140245,0.229810,0.174535,0.449948
M049,0.226921,0.397663,0.197240,0.283041,0.381247,0.455076,0.371014,0.482037,0.553105,0.408456,0.147880,0.482330,0.669592,0.594160,0.616642,0.398956,0.241583,0.203744,0.282999,0.455988,0.420126,0.261450,0.288099,0.393738,0.521730,0.282242,0.260020,0.292184,0.283128,0.316653,0.322802,0.393233,0.276920,0.147880,0.147880,0.414390,0.355925,0.170189,0.000000,0.246387,0.185027,0.144813,0.251500,0.485279,0.276142,0.209111,0.314398,0.416124,0.453006,0.432426,0.147880,0.147880,0.147880,0.147880,0.349232,0.147880,0.147880,0.191134,0.147880,0.147880,0.231924,0.187203,0.474256
M050,0.232756,0.353787,0.335372,0.404233,0.401786,0.347850,0.362545,0.309973,0.401464,0.355111,0.211993,0.353075,0.526548,0.424860,0.407962,0.283347,0.306814,0.253107,0.512865,0.515231,0.436365,0.215177,0.494824,0.350006,0.546814,0.416418,0.279402,0.316276,0.221961,0.294319,0.439814,0.492352,0.323893,0.211993,0.211993,0.316553,0.439216,0.212702,0.246387,0.000000,0.204952,0.234154,0.220324,0.420423,0.344713,0.384987,0.465313,0.535036,0.420461,0.480649,0.211993,0.211993,0.211993,0.211993,0.304302,0.211993,0.211993,0.370401,0.211993,0.211993,0.398325,0.316637,0.446341
M051,0.217800,0.417784,0.297402,0.345042,0.402604,0.461732,0.367429,0.425822,0.509987,0.390602,0.169418,0.452887,0.600268,0.513647,0.551222,0.353944,0.253399,0.219544,0.342737,0.489820,0.484285,0.276156,0.345790,0.413624,0.496166,0.265401,0.247659,0.261711,0.245104,0.289972,0.357492,0.446978,0.291961,0.169418,0.169418,0.449117,0.386790,0.125947,0.185027,0.204952,0.000000,0.203364,0.254697,0.474588,0.243011,0.245754,0.342446,0.453144,0.430448,0.451530,0.169418,0.169418,0.169418,0.169418,0.346210,0.169418,0.169418,0.245105,0.169418,0.169418,0.269194,0.208073,0.464525
M052,0.235689,0.358594,0.220815,0.279381,0.431238,0.434433,0.393341,0.465434,0.466922,0.347707,0.156542,0.413683,0.597806,0.521808,0.553741,0.333968,0.197411,0.198442,0.340303,0.535522,0.473603,0.284426,0.365095,0.421837,0.637163,0.248341,0.318164,0.270411,0.357577,0.392387,0.405082,0.418087,0.304023,0.156542,0.156542,0.355994,0.347829,0.138897,0.144813,0.234154,0.203364,0.000000,0.284883,0.508710,0.325736,0.266727,0.321466,0.413972,0.431794,0.398775,0.156542,0.156542,0.156542,0.156542,0.303134,0.156542,0.156542,0.259696,0.156542,0.156542,0.249301,0.176379,0.460820
M053,0.197403,0.362386,0.292418,0.296390,0.340941,0.374267,0.357767,0.430159,0.540532,0.466269,0.181612,0.482560,0.667666,0.527039,0.537116,0.428171,0.368875,0.331951,0.370966,0.382471,0.332656,0.201920,0.335247,0.285372,0.421370,0.439788,0.274086,0.377724,0.239007,0.287979,0.264273,0.434582,0.248304,0.181612,0.181612,0.394552,0.457378,0.281358,0.251500,0.220324,0.254697,0.284883,0.000000,0.300675,0.247901,0.369572,0.479790,0.513193,0.458305,0.495211,0.181612,0.181612,0.181612,0.181612,0.292131,0.181612,0.181612,0.255942,0.181612,0.181612,0.357364,0.341318,0.466896
M054,0.401243,0.396214,0.500851,0.499862,0.477709,0.449421,0.487185,0.539480,0.588829,0.597271,0.405633,0.507902,0.714187,0.641847,0.565653,0.501350,0.534980,0.562638,0.570528,0.406371,0.287198,0.333459,0.507919,0.240450,0.411784,0.630037,0.394139,0.544292,0.382570,0.468291,0.421125,0.549145,0.440639,0.405633,0.405633,0.514306,0.673994,0.511860,0.485279,0.420423,0.474588,0.508710,0.300675,0.000000,0.386680,0.602486,0.705379,0.722225,0.680096,0.705155,0.405633,0.405633,0.405633,0.405633,0.469997,0.405633,0.405633,0.448245,0.405633,0.405633,0.585254,0.573468,0.659226
M055,0.175787,0.353932,0.246322,0.200865,0.292006,0.352982,0.258300,0.484000,0.529198,0.417222,0.203042,0.443288,0.622911,0.567072,0.562372,0.384340,0.300024,0.351792,0.245999,0.341725,0.483020,0.325947,0.258902,0.423730,0.455829,0.363784,0.317631,0.328783,0.384644,0.400536,0.241326,0.255359,0.248940,0.203042,0.203042,0.460253,0.416307,0.280206,0.276142,0.344713,0.243011,0.325736,0.247901,0.386680,0.000000,0.310598,0.422045,0.518156,0.502746,0.502282,0.203042,0.203042,0.203042,0.203042,0.389398,0.203042,0.203042,0.305372,0.203042,0.203042,0.306058,0.341782,0.469204
