blind_id,M002,M003,M004,M005,M007,M009,M010,M011,M012,M013,M015,M016,M017,M019,M021,M022,M024,M025,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M043,M044,M045,M046,M047,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
M015,0.079496,0.104242,0.142572,0.266183,0.367889,0.280317,0.287905,0.136466,0.068397,0.217580,0.000000,0.126721,0.478369,0.601759,0.133243,0.066854,0.108211,0.147563,0.107269,0.286059,0.413271,0.286076,0.533430,0.302315,0.340834,0.225099,0.074220,0.168859,0.231384,0.157904,0.438730,0.106974,0.412333,0.184687,0.171687,0.299090,0.074282,0.086735,0.250664,0.089000,0.200919,0.113334,0.153911,0.212876,0.220836,0.397958,0.365893,0.525286,0.415221,0.362593,0.224612,0.211100,0.242563,0.195929,0.369087,0.161746,0.051551,0.238581,0.128030,0.161158,0.360211,0.265919,0.461320
M016,0.170017,0.144810,0.167099,0.353443,0.455149,0.367577,0.375165,0.152365,0.089242,0.167714,0.126721,0.000000,0.500163,0.618274,0.149650,0.154272,0.114310,0.188446,0.180203,0.288167,0.395217,0.373336,0.486502,0.366828,0.322779,0.232566,0.134970,0.174747,0.238852,0.160595,0.420676,0.123265,0.388153,0.311408,0.298408,0.357089,0.096871,0.198601,0.308663,0.200516,0.306657,0.137867,0.223493,0.276389,0.241367,0.455343,0.423278,0.584019,0.491447,0.424585,0.269153,0.255641,0.287104,0.224634,0.361876,0.164059,0.178271,0.319056,0.215290,0.248418,0.419322,0.346393,0.541413
M017,0.505785,0.503343,0.544166,0.464305,0.508117,0.489981,0.531020,0.516478,0.479500,0.421784,0.478369,0.500163,0.000000,0.200623,0.489365,0.497200,0.472764,0.555709,0.491907,0.643864,0.620347,0.482089,0.863301,0.544120,0.621928,0.521169,0.483611,0.508898,0.489179,0.491185,0.733429,0.569216,0.768515,0.636663,0.623663,0.745884,0.522667,0.431036,0.701806,0.475471,0.589448,0.498194,0.451369,0.526042,0.505642,0.849935,0.817870,0.803443,0.696906,0.647674,0.442517,0.520277,0.478722,0.531499,0.474798,0.409018,0.503527,0.684301,0.534690,0.567817,0.812187,0.701281,0.749232
M019,0.640551,0.593248,0.648493,0.574788,0.651929,0.601414,0.639571,0.571638,0.597612,0.516441,0.601759,0.618274,0.200623,0.000000,0.571288,0.621929,0.562783,0.654668,0.617797,0.754347,0.649441,0.590640,1.000000,0.654603,0.693741,0.626035,0.607820,0.594425,0.579134,0.549349,0.800444,0.687327,0.792272,0.786446,0.773446,0.895667,0.640778,0.568805,0.836601,0.625253,0.733952,0.555599,0.526884,0.604886,0.614193,0.879821,0.907704,0.825565,0.837430,0.685990,0.536829,0.586109,0.587273,0.537180,0.518131,0.476963,0.650306,0.834084,0.643240,0.676368,0.902022,0.851064,0.799834
M021,0.133534,0.060954,0.171175,0.210617,0.312323,0.239957,0.232339,0.183839,0.072029,0.173579,0.133243,0.149650,0.489365,0.571288,0.000000,0.178046,0.190781,0.221451,0.100079,0.238894,0.354908,0.230510,0.535891,0.217177,0.282470,0.209028,0.094796,0.137528,0.179301,0.145105,0.384624,0.164383,0.408980,0.303690,0.290690,0.409673,0.137519,0.184124,0.365594,0.219483,0.315437,0.193551,0.216394,0.190559,0.162688,0.513724,0.481659,0.653619,0.543554,0.434810,0.230645,0.217133,0.248595,0.186126,0.310724,0.202970,0.167550,0.357584,0.134063,0.167190,0.475976,0.399161,0.589653
M022,0.096117,0.153160,0.142048,0.296087,0.378078,0.290507,0.298095,0.116340,0.128047,0.266398,0.066854,0.154272,0.497200,0.621929,0.178046,0.000000,0.120419,0.117304,0.126088,0.305010,0.447072,0.311431,0.521100,0.332218,0.374634,0.257912,0.094794,0.195588,0.259693,0.200441,0.472531,0.110838,0.380289,0.231298,0.218298,0.276636,0.088681,0.097308,0.219668,0.110597,0.221107,0.147583,0.154103,0.225579,0.247943,0.367797,0.335732,0.517960,0.407895,0.364663,0.255548,0.242036,0.273499,0.242700,0.396803,0.208518,0.095159,0.219347,0.174544,0.207671,0.330049,0.257099,0.453994
M024,0.138606,0.137957,0.131660,0.343877,0.445582,0.358011,0.365599,0.169608,0.134908,0.221991,0.108211,0.114310,0.472764,0.562783,0.190781,0.120419,0.000000,0.185011,0.170637,0.315832,0.412364,0.363770,0.491369,0.370289,0.350283,0.308495,0.119639,0.238390,0.302768,0.226752,0.413876,0.158413,0.393582,0.292898,0.279898,0.363317,0.105348,0.132184,0.309441,0.140623,0.246561,0.126287,0.177505,0.262603,0.246058,0.457351,0.425286,0.565465,0.479996,0.425945,0.206699,0.193187,0.235005,0.170817,0.325033,0.142914,0.156758,0.316470,0.206339,0.239466,0.419603,0.343807,0.533215
M025,0.129798,0.190009,0.136151,0.299565,0.373487,0.285915,0.293503,0.156838,0.181078,0.294726,0.147563,0.188446,0.555709,0.654668,0.221451,0.117304,0.185011,0.000000,0.149714,0.278210,0.429765,0.314909,0.488954,0.335697,0.357328,0.286906,0.139255,0.214593,0.279458,0.221960,0.455224,0.119453,0.323937,0.274186,0.261185,0.262531,0.149514,0.169990,0.199117,0.167094,0.309439,0.187925,0.198073,0.202517,0.251023,0.320314,0.274447,0.480947,0.379446,0.262138,0.268552,0.255040,0.275945,0.287375,0.391467,0.260959,0.138046,0.195734,0.177248,0.194540,0.268764,0.239140,0.416981
M027,0.070211,0.084452,0.115857,0.173240,0.274946,0.201614,0.194962,0.186965,0.123464,0.241547,0.107269,0.180203,0.491907,0.617797,0.100079,0.126088,0.170637,0.149714,0.000000,0.197219,0.349143,0.193133,0.467706,0.207097,0.276706,0.245506,0.052930,0.171324,0.239778,0.193605,0.374602,0.171825,0.340008,0.240766,0.227766,0.341801,0.135540,0.131890,0.293857,0.148786,0.274455,0.204328,0.178936,0.133215,0.148760,0.441987,0.409922,0.594527,0.484462,0.375719,0.165656,0.152144,0.183606,0.173922,0.304959,0.219225,0.104627,0.281532,0.069073,0.102201,0.404239,0.323109,0.530561
M028,0.215829,0.256234,0.229902,0.220830,0.208091,0.227126,0.190979,0.372099,0.280188,0.331239,0.286059,0.288167,0.643864,0.754347,0.238894,0.305010,0.315832,0.278210,0.197219,0.000000,0.217807,0.209529,0.376707,0.102710,0.114471,0.436869,0.218936,0.350744,0.407716,0.384000,0.220917,0.313569,0.214025,0.303428,0.295706,0.363145,0.276855,0.329109,0.336603,0.329835,0.459735,0.302256,0.376155,0.204926,0.153227,0.430245,0.411127,0.632339,0.554232,0.508545,0.269484,0.226712,0.221225,0.289081,0.282722,0.398014,0.262302,0.371974,0.160934,0.127806,0.414176,0.367830,0.573652
