blind_id,M002,M003,M004,M005,M007,M009,M010,M011,M012,M013,M015,M016,M017,M019,M021,M022,M024,M025,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M043,M044,M045,M046,M047,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
M037,0.409711,0.385290,0.342920,0.481030,0.463467,0.457528,0.532177,0.373190,0.437514,0.377747,0.334794,0.506093,0.740653,0.512585,0.373581,0.305159,0.309096,0.390186,0.431462,0.468849,0.262474,0.301352,0.299236,0.186181,0.238493,0.291994,0.288203,0.226644,0.000000,0.156046,0.319207,0.495895,0.440213,0.508775,0.524359,0.442943,0.488020,0.397133,0.341375,0.453360,0.391475,0.443172,0.332600,0.377856,0.488055,0.474916,0.404279,0.419690,0.475750,0.443252,0.381634,0.290353,0.314433,0.286457,0.305072,0.441247,0.443753,0.420843,0.514892,0.528710,0.431858,0.406733,0.470249
M038,0.313339,0.289807,0.269995,0.368397,0.366446,0.364360,0.435155,0.276818,0.358260,0.282264,0.214911,0.430186,0.705065,0.450774,0.274647,0.208319,0.205247,0.283492,0.332860,0.367874,0.162617,0.254134,0.196040,0.178792,0.156734,0.196727,0.153253,0.102817,0.156046,0.000000,0.198566,0.398874,0.345830,0.395584,0.411168,0.381487,0.374829,0.331173,0.212739,0.375964,0.319598,0.376471,0.238915,0.282373,0.364343,0.407326,0.420531,0.352990,0.409049,0.403430,0.282288,0.220539,0.232115,0.299740,0.288274,0.345765,0.371305,0.347344,0.430180,0.436929,0.361506,0.350628,0.402659
M039,0.116571,0.123316,0.179127,0.178469,0.172950,0.221924,0.269156,0.149038,0.253261,0.168278,0.288625,0.407244,0.760911,0.441383,0.118412,0.112046,0.166333,0.242527,0.140004,0.171906,0.271157,0.198786,0.065347,0.218715,0.157296,0.103673,0.161100,0.226576,0.319207,0.198566,0.000000,0.202906,0.187495,0.206214,0.221798,0.229579,0.189280,0.308581,0.137099,0.337507,0.305755,0.230226,0.097033,0.115747,0.188124,0.255590,0.375602,0.228858,0.263668,0.379834,0.189038,0.247228,0.185880,0.356677,0.334002,0.241217,0.229006,0.206096,0.319268,0.319219,0.216199,0.236532,0.319011
M040,0.095817,0.216670,0.305154,0.051199,0.081258,0.104141,0.269789,0.191387,0.269434,0.269256,0.418840,0.535364,0.890772,0.566000,0.150077,0.227162,0.298501,0.386524,0.180382,0.072431,0.459631,0.211842,0.228475,0.327019,0.270101,0.222599,0.355886,0.418556,0.495895,0.398874,0.202906,0.000000,0.126410,0.063790,0.075999,0.294215,0.036899,0.413551,0.270239,0.485304,0.471996,0.300462,0.192122,0.131331,0.065020,0.262293,0.376359,0.259903,0.287642,0.409941,0.301820,0.362390,0.284894,0.479291,0.466345,0.332892,0.115047,0.128376,0.361889,0.368408,0.173290,0.200886,0.318643
M041,0.116073,0.140064,0.191042,0.113949,0.128367,0.126283,0.279263,0.136881,0.200318,0.214055,0.352939,0.446411,0.833863,0.458530,0.168314,0.206179,0.250154,0.324505,0.139598,0.143649,0.399455,0.200744,0.186273,0.275552,0.254370,0.172757,0.340167,0.371878,0.440213,0.345830,0.187495,0.126410,0.000000,0.140563,0.131744,0.167805,0.120236,0.287141,0.256082,0.400999,0.384157,0.177135,0.122285,0.119018,0.129390,0.148037,0.280612,0.143575,0.166479,0.302305,0.309123,0.271651,0.207230,0.384468,0.362981,0.263723,0.131267,0.120706,0.303298,0.309996,0.105045,0.139329,0.212416
M043,0.115136,0.247392,0.317710,0.056524,0.113459,0.134953,0.293293,0.222109,0.290120,0.280019,0.446217,0.544898,0.913896,0.566457,0.180799,0.231631,0.289821,0.397771,0.191032,0.064643,0.469445,0.257640,0.233643,0.333115,0.298500,0.227951,0.347578,0.415318,0.508775,0.395584,0.206214,0.063790,0.140563,0.000000,0.033685,0.298354,0.053008,0.404128,0.244478,0.462805,0.457607,0.295711,0.209834,0.157871,0.045117,0.249940,0.369355,0.242675,0.265252,0.401661,0.309677,0.393112,0.315616,0.510013,0.497067,0.350232,0.112353,0.122161,0.397144,0.404312,0.182565,0.201500,0.310363
M044,0.135067,0.237725,0.308044,0.073784,0.120680,0.150971,0.308877,0.237693,0.298046,0.270352,0.436550,0.535232,0.929480,0.556790,0.196383,0.247215,0.305405,0.400374,0.181365,0.062520,0.485029,0.275536,0.249227,0.353770,0.314084,0.242886,0.363162,0.430902,0.524359,0.411168,0.221798,0.075999,0.131744,0.033685,0.000000,0.287392,0.068924,0.394462,0.243080,0.489236,0.475928,0.292254,0.207532,0.173455,0.062377,0.240974,0.369944,0.241068,0.272946,0.406010,0.321363,0.396071,0.331200,0.500347,0.487400,0.340566,0.132479,0.149695,0.382944,0.390111,0.203530,0.218326,0.314712
M045,0.253261,0.189339,0.215738,0.275627,0.274645,0.275912,0.368440,0.200751,0.282130,0.240452,0.352264,0.365372,0.778074,0.393470,0.266395,0.277296,0.296599,0.355778,0.194907,0.287442,0.443504,0.256167,0.224254,0.315350,0.295791,0.211078,0.375824,0.407535,0.442943,0.381487,0.229579,0.294215,0.167805,0.298354,0.287392,0.000000,0.282617,0.212635,0.326145,0.301412,0.323545,0.176881,0.185662,0.216702,0.291068,0.129693,0.290802,0.129322,0.118011,0.277253,0.374336,0.305996,0.259382,0.325655,0.350433,0.225556,0.236915,0.229798,0.285640,0.292710,0.198447,0.227319,0.184965
M046,0.109092,0.232949,0.303268,0.028610,0.103811,0.119851,0.284851,0.207667,0.275678,0.274302,0.431774,0.530456,0.901655,0.562009,0.160044,0.224089,0.279910,0.383329,0.178612,0.070845,0.448690,0.222379,0.214992,0.313334,0.277745,0.209442,0.329054,0.395094,0.488020,0.374829,0.189280,0.036899,0.120236,0.053008,0.068924,0.282617,0.000000,0.393031,0.254228,0.460680,0.445164,0.279942,0.195392,0.141850,0.047925,0.241981,0.356047,0.239384,0.267122,0.388801,0.292219,0.378670,0.301173,0.495571,0.482625,0.337456,0.090913,0.093471,0.378168,0.386037,0.147941,0.180745,0.290051
M047,0.360905,0.256587,0.259366,0.389387,0.383908,0.388135,0.469931,0.258606,0.315084,0.250074,0.334671,0.419253,0.825643,0.404479,0.339219,0.315138,0.299696,0.328451,0.309387,0.408020,0.448002,0.270059,0.249141,0.272298,0.296320,0.255225,0.352195,0.355028,0.397133,0.331173,0.308581,0.413551,0.287141,0.404128,0.394462,0.212635,0.393031,0.000000,0.361591,0.316227,0.289998,0.200960,0.254079,0.299637,0.400367,0.179854,0.199694,0.169249,0.212891,0.226645,0.390913,0.252642,0.267277,0.325638,0.280127,0.276844,0.339451,0.328454,0.324998,0.330112,0.262097,0.241645,0.210134
